phrase,id,position,corresponding_text
Mais toujours elle me répondait :´C'e§t un chapeau,57,2275," Mais toujours elle me répondait :""C'e§t un chapeau."
´Alors je ne lui parlais ni de serpents boas,58,2327,"""Alors je ne lui parlais ni de serpents boas,"
ni de forêts vierges,59,2372," ni de forêts vierges,"
ni d'étoiles,60,2394, ni d'étoiles.
Je me mettais à sa portée,61,2408, Je me mettais à sa portée.
Je lui parlais de bridge,62,2435," Je lui parlais de bridge,"
de golf,63,2461," de golf,"
de politique et de cravates,64,2470, de politique et de cravates.
Et la grande personne était bien contente de connaître un homme aussi raisonnable,65,2499," Et la grande personne était bien contente de connaître un homme aussi raisonnable.



"
Chapitre 2,66,2586,"Chapitre 2

"
J'ai ainsi vécu seul,67,2598,"J'ai ainsi vécu seul,"
sans personne avec qui parler 'véritablement,68,2619," sans personne avec qui parler 'véritablement,"
jusqu'à une panne dans le désert du Sahara,69,2665," jusqu'à une panne dans le désert du Sahara,"
il y a six ans,70,2709, il y a six ans.
Quelque chose s'était cassée dans mon moteur,71,2725, Quelque chose s'était cassée dans mon moteur.
Et comme je n'avais avec moi ni mécanicien,72,2771," Et comme je n'avais avec moi ni mécanicien,"
ni passagers,73,2815," ni passagers,"
je me préparai à essayer de réussir,74,2829," je me préparai à essayer de réussir,"
tout seul,75,2866," tout seul,"
une réparation difficile,76,2877, une réparation difficile.
C'était pour moi une question de vie ou de mort,77,2903, C'était pour moi une question de vie ou de mort.
J'avais à peine de l'eau à boire pour huit jours,78,2952," J'avais à peine de l'eau à boire pour huit jours,

"
Le premier soir je me suis donc endormi sur le sable à mille milles de toute terre habitée,79,3004,Le premier soir je me suis donc endormi sur le sable à mille milles de toute terre habitée.
J'étais bien plus isolé qu'un naufragé sur un radeau au milieu de l'Océan,80,3095, J'étais bien plus isolé qu'un naufragé sur un radeau au milieu de l'Océan.
Alors vous imaginez ma surprise,81,3170," Alors vous imaginez ma surprise,"
au lever du jour,82,3203," au lever du jour,"
quand une drôle de petite voix m'a réveillé,83,3221, quand une drôle de petite voix m'a réveillé.
Elle disait :,84,3266," Elle disait :

"
- S'il vous plaît... dessine-moi un mouton !,85,3282,"- S'il vous plaît... dessine-moi un mouton !

"
- Dessine-moi un mouton...,86,3328,"- Dessine-moi un mouton...

"
J'ai sauté sur mes pieds comme si j'avais été frappé par la foudre,87,3356,J'ai sauté sur mes pieds comme si j'avais été frappé par la foudre.
J'ai bien frotté mes yeux,88,3423, J'ai bien frotté mes yeux.
J'ai bien regardé,89,3450, J'ai bien regardé.
Et j'ai vu un petit bonhomme tout à fait extraordinaire qui me considérait gravement,90,3469, Et j'ai vu un petit bonhomme tout à fait extraordinaire qui me considérait gravement.
Voilà le meilleur portrait que,91,3555," Voilà le meilleur portrait que,"
plus tard,92,3587," plus tard,"
j'ai réussi à faire de lui,93,3598, j'ai réussi à faire de lui.
Mais mon dessin,94,3626," Mais mon dessin,"
bien sûr,95,3643," bien sûr,"
est beaucoup moins ravissant que le modèle,96,3653, est beaucoup moins ravissant que le modèle.
Ce n'est pas ma faute,97,3697, Ce n'est pas ma faute.
J'avais été découragé dans ma carrière de peintre par les grandes personnes,98,3720," J'avais été découragé dans ma carrière de peintre par les grandes personnes,"
à l'âge de six ans,99,3797," à l'âge de six ans,"
et je n'avais rien appris à dessiner,100,3817," et je n'avais rien appris à dessiner,"
sauf les boas fermés et les boas ouverts,101,3855," sauf les boas fermés et les boas ouverts.

"
je regardai donc cette apparition avec des yeux tout ronds d'étonnement,102,3899,je regardai donc cette apparition avec des yeux tout ronds d'étonnement.
N'oubliez pas que je me trouvais à mille milles de toute région habitée,103,3971, N'oubliez pas que je me trouvais à mille milles de toute région habitée.
